,time,similar_mols,smiles
0,0.00019827577175306476,"[('CSc1ccc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1N(CCN1CCOCC1)S(C)(=O)=O', 0.6770833333333334), ('CS(=O)(=O)Oc1cc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)ccc1OCc1ccccc1', 0.6704545454545454), ('CN(C)CCNS(=O)(=O)c1ccc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1', 0.6590909090909091)]",COC(=O)[C@H](CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O
1,0.0001920830774155217,"[('CCOC(=O)c1cccn(Cc2ccccc2-c2cccc(C(C)C)c2)c1=O', 0.29411764705882354), ('CC(C)(C)C(=O)ON[C@H]1CSc2c(cccc2-c2ccccc2)NC1=O', 0.2857142857142857), ('Cc1cc(NC(=O)c2ccc3c(c2)CCNC3)nn1Cc1ccccc1-c1ccccc1', 0.2857142857142857)]",O=C(Nc1cccc2cnccc12)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1
2,0.00022265283909142248,"[('COCCOc1ccn2c(C(=O)Nc3cccc4c3c(C3CC3)nn4Cc3ccccc3)cnc2c1', 0.651685393258427), ('CCc1nn(Cc2nc(C)cs2)c2cccc(NC(=O)c3cnc4cc(OCCN5CCN(C)CC5)ccn34)c12', 0.6020408163265306), ('Cc1cccc(Cn2nc(C)c3c(NC(=O)c4cnc5cc(OCCN6CCN(C(=O)OC(C)(C)C)CC6)ccn45)cccc32)n1', 0.5384615384615384)]",CCN(CC)Cc1ccc(-c2nc(C)c(COc3ccc([C@H](CC(=O)N4C(=O)OC[C@@H]4Cc4ccccc4)c4ccon4)cc3)s2)cc1
3,0.0001361635516648429,"[('CC(=Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)s1)C(=O)OC(C)(C)C', 0.43103448275862066), ('CCC(Cc1ccc(C(=O)OC(C)(C)C)s1)C(=O)OCc1ccccc1', 0.41379310344827586), ('CC(C)(C)OC(=O)c1cc(OC(C)(C)C)c(C(=O)O)s1', 0.3877551020408163)]",CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
4,0.00011893500080204281,"[('C(=Cc1ccccc1)c1ccccc1', 0.5714285714285714), ('O=Cc1cc(/C=C/c2ccccc2)co1', 0.42424242424242425), ('BrCc1ccc(C=Cc2ccccc2)cc1', 0.4)]",CCOc1ccc(Oc2ncnc3c2cnn3C2CCN(C(=O)OC3CCCC3)CC2)c(F)c1
5,0.00014278504278511652,"[('Clc1ccc2c3ccccc3n(-c3ccccc3)c2c1', 0.6666666666666666), ('Brc1ccc(-n2c3ccccc3c3ccccc32)cc1', 0.6666666666666666), ('Cc1ccc(-n2c3ccccc3c3ccccc32)cc1', 0.6666666666666666)]",Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(-n2cccn2)cc1
6,0.00018249218849706824,"[('CCOCc1cc(-c2ccc3c(c2)c2cc(-c4ccc(Cl)cc4Cl)c(=O)n(C)c2n3C)nn1C', 0.5616438356164384), ('CCOC(=O)c1cc(-c2ccc3c(c2)c2cc(-c4ccc(Cl)cc4Cl)c(=O)n(C)c2n3C)nn1C', 0.56), ('Cn1c(=O)c(-c2ccc(F)cc2)cc2c3cc(-c4csc(N)n4)ccc3n(C)c21', 0.5217391304347826)]",N#Cc1ccc(OC2CCCCO2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)c1
7,0.00012841260996649035,"[('Nc1ncccc1C#CCc1ccccc1', 0.41025641025641024), ('N#Cc1ncc(C#CCCc2ccccc2)c(NC2CCCC2)n1', 0.40384615384615385), ('C(#Cc1ccccn1)CCc1nc2ncccc2o1', 0.3617021276595745)]",COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2
8,0.00012278884357213793,"[('Cc1cccc(C(=O)Nc2cccc(Br)n2)n1', 0.55), ('Cc1ccc(NC(=O)C(C)(C)C)c(-c2cccc(Br)n2)c1', 0.5454545454545454), ('CC(C)(C)C(=O)Nc1cnc(Br)cn1', 0.5405405405405406)]",CC(C)(C)OC(=O)NNC(=O)c1ccc(Br)cc1Cl
9,0.00017590524432157883,"[('CC(CC(=O)O)(c1ccccc1)c1ccccc1', 0.3783783783783784), ('CC(N)CC(c1ccc(O)cc1)c1ccc(O)cc1', 0.3684210526315789), ('CC(C)(CCc1ccc(O)cc1)NCc1ccccc1', 0.36363636363636365)]",CCOP(=O)(COCc1nc2c(N)ncnc2n1CCc1ccccc1)OCC
10,0.0001429174684089549,"[('O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1cc2ccccc2o1', 0.5490196078431373), ('CCCCCS(=O)(=O)NC(=O)Nc1ccc(Cl)cc1', 0.5102040816326531), ('Cc1ccsc1S(=O)(=O)NC(=O)Nc1ccc(Cl)cc1', 0.49019607843137253)]",O=C(O)CONC(=O)NCc1cccc2ccccc12
11,0.00018084345809553755,"[('CC(C)(CC=O)C(=O)OCc1ccccc1', 0.44), ('CC(CO)(CO)C(=O)OCc1ccccc1', 0.4375), ('CC(C)(NC(=O)OCc1ccccc1)C(N)=O', 0.40384615384615385)]",CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1
12,0.0001900647832661396,"[('CCOC(=O)CCN(C)C(=O)c1ccc(NC(c2oc3ccc(Cl)nc3c2C)C2CCCCC2)cc1', 0.5783132530120482), ('CCOC(=O)CCN(C)C(=O)c1ccc(NC(c2oc3ccc(N)cc3c2C)C2CCCCC2)cc1', 0.5116279069767442), ('CCOC(=O)CCN(C)C(=O)c1ccc(NC(c2oc3ccc(F)cc3c2C)C2CCCCC2)cn1', 0.4777777777777778)]",COC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(C)C
13,0.00015839420785429081,"[('CC(C)c1c(OCCNC(=O)OC(C)(C)C)noc1-c1ccccc1Cl', 0.6833333333333333), ('CCCCCc1c(OCCNC(=O)OC(C)(C)C)noc1-c1ccccc1', 0.578125), ('CC(C)(C)OC(=O)NCCOc1noc(-c2cccnc2)c1Cl', 0.546875)]",c1ccc(CN2CCC(NCc3c[nH]cn3)CC2)cc1
14,0.00012567787908215032,"[('COC(=O)c1cc(OC(C)C)cc(C(=O)OC)c1CBr', 0.45454545454545453), ('COC(=O)c1cc(F)c(F)cc1Br', 0.45), ('COC(=O)c1ccc(OC(C)C)cc1O', 0.4418604651162791)]",Oc1ccc(OCc2ccccc2)c(Br)c1
15,0.00014063571857012765,"[('COC(=O)Cc1ccccc1Oc1ccccc1', 0.7105263157894737), ('COc1ccc(CNCC(=O)O)c(OC)c1', 0.4782608695652174), ('COC(=O)Cc1ccccc1OCC(C)=O', 0.4666666666666667)]",CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21
16,0.00013606807021682545,"[('COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1', 0.5490196078431373), ('COC[C@H](C)Oc1cc(OCc2ccccc2)cc(-c2nc3cccnc3[nH]2)c1', 0.421875), ('CC(C)Oc1ccc(OCc2ccccc2)cc1-c1nc2cccnc2[nH]1', 0.41935483870967744)]",Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1
17,0.00017587068138271857,"[('NN=CNc1ccc(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)O3)cc1', 0.6231884057971014), ('CCCCOC(=O)CC1COc2ccc(NC(=O)c3ccc(C=NN4CCOCC4)cc3)cc2C1', 0.41304347826086957), ('CCOC(=O)Nc1ccc2c(c1)CCC(CCC#N)O2', 0.3924050632911392)]",FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1
18,0.00018895764955207712,"[('CCOC(=O)c1cc(C2CC2)c2c(C)c(N3CCC4(CCN(C(=O)OC(C)(C)C)CC4)C3)c(F)cn2c1=O', 0.44565217391304346), ('CN(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)c(F)c21', 0.3333333333333333), ('COC(=O)c1cc(C2CC2)c2c(C)c(-c3ccc(O)c(F)c3)ccn2c1=O', 0.32222222222222224)]",CC(C)Sc1ncccc1F
19,0.0001533284628911663,"[('CS(=O)(=O)c1ccc(NC(=O)CC2CCNCC2)cc1', 0.6363636363636364), ('CCC(=O)N1CCC(CC(=O)Nc2ccc(-c3ccccc3)cc2)CC1', 0.6170212765957447), ('Cc1onc(-c2ccccc2)c1-c1cn2cc(NC(=O)CC3CC3)ccc2n1', 0.4126984126984127)]",COC(=O)C(C)(C)CN1CCN(C2=Nc3ccc(Cl)cc3Cn3cc(C)cc32)CC1
20,0.00012402572976833874,"[('CC1(C)OCC(Cn2cc(N)cn2)O1', 0.40425531914893614), ('CC1(C)OC[C@@H](COc2cncc(N)n2)O1', 0.37254901960784315), ('CNc1ccc(N)cn1', 0.358974358974359)]",CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1
21,0.00012682427022986612,"[('CCOC(=O)c1cn(-c2ccc(N)cc2)cn1', 0.5217391304347826), ('CCOC(=O)c1cc2cc(N)ccc2s1', 0.4166666666666667), ('CCOC(=O)c1cccc(C(C)C)n1', 0.41304347826086957)]",O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCCC4)nc23)N1
22,0.00014265653190854597,"[('CCOC(=O)c1sc(-c2ccc(O)cc2)nc1C', 0.5), ('CCOC(=O)c1sc(-c2cccc(OC)c2)nc1C', 0.4067796610169492), ('CCOC(=O)c1sc(-c2cc(O)c3sccc3c2)nc1C', 0.4032258064516129)]",COC(Oc1cc(Cl)cc(Cl)c1)C(=O)OC(C)(C)C
23,0.0001777930342300974,"[('O=C(Nc1ccc2[nH]cc(C3CCN(CCc4ccccc4)CC3)c2n1)c1ccccc1', 0.8253968253968254), ('O=C(Nc1ccc2[nH]cc(C3CCN(CCc4ccccc4)CC3)c2n1)c1ccc(F)cc1', 0.7647058823529411), ('CN1CCC(c2c[nH]c3ccc(NC(=O)c4ccccc4)nc23)CC1', 0.6268656716417911)]",NCc1cccc([N+](=O)[O-])c1
24,0.0002504452755070876,"[('CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(SCc4ccno4)cc2)CCN3CC(C)C)cc1', 0.5887850467289719), ('CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(S(=O)Cc4cn(CCC)cn4)cc2)CCN3CC(C)C)cc1', 0.5833333333333334), ('CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(S(=O)Cc4cn(CCC)nn4)cc2)CCN3CC(C)C)cc1', 0.5779816513761468)]",C#Cc1coc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc12
