Unnamed: 0,time,similar_mols,smiles
7161,0.00259716,"[('CC(Sc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5538461538461539), ('O=C(NN=Cc1ccc(-c2ccccc2)cc1)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5538461538461539), ('O=C(CCSc1ccc(-c2ccccc2)cc1)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5538461538461539)]",O=C(Nc1ccc(-c2ccccc2)cc1C(=O)O)OCc1ccc(-c2ccccc2)cc1
484,0.00058498,"[('C=CCC(NCc1ccc2nonc2c1)c1ccc([N+](=O)[O-])cc1', 0.4489795918367347), ('CC(C#N)(Cc1ccc2nonc2c1)Nc1ccc([N+](=O)[O-])cc1', 0.4489795918367347), ('CC(NC(=O)Cc1ccc2nonc2c1)c1ccc([N+](=O)[O-])cc1', 0.40816326530612246)]",O=[N+]([O-])c1ccc(N(Cc2ccc3nonc3c2)n2cncn2)cc1
35258,0.0007382999999999,"[('CC(C)(C)OOCN1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.7058823529411765), ('CN(C)C(=S)SC(=S)N1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.6923076923076923), ('CSC(=O)C#CC(C)(C)N1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.6792452830188679)]",Cc1cnc(N2CCN(C(=O)c3ccc(Br)cc3[N+](=O)[O-])CC2)c(C)c1
44053,0.0010374999999998,"[('CC(C)(NC(=O)Cn1nc(-c2ccc(C=CBr)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1', 0.9411764705882353), ('C=CCc1ccc(-c2nn(CC(=O)NC(C)(C)c3cccc(C(F)(F)F)c3)c(=O)n2C2CC2)cc1', 0.9411764705882353), ('CC(C)(NC(=O)Cn1nc(-c2ccc(CCBr)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1', 0.9411764705882353)]",CC(C)(NC(=O)Cn1nc(-c2ccc(Cl)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1
16617,0.2083083599999996,"[('CC(SCc1ccc(CC2SC(=O)NC2=O)cc1)C(=O)Nc1ccc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)cc1N(C)C(=O)OC(C)(C)C', 0.6923076923076923), ('C=CCN(c1ccc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)cc1N(C)C(=O)OC(C)(C)C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 0.6730769230769231), ('CN(C(=O)OC(C)(C)C)c1cc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)ccc1N(C)S(=O)(=O)c1ccc(CC2SC(=O)NC2=O)cc1', 0.6666666666666666)]",CN(C(=O)OC(C)(C)C)c1cc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)ccc1NC(=O)COc1ccc(CC2SC(=O)NC2=O)cc1
5349,0.0008034799999999,"[('CC(C)N=C(NC#N)SCc1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1', 0.7213114754098361), ('CCN=C(c1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1)n1nc(C)cc1C', 0.7096774193548387), ('CC1CC(C)(C)OC(c2ccc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2)O1', 0.7)]",CC(C)N(CCc1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1)C(C)C
19502,0.00073278,"[('O=C[C@@H]1c2cc(CCCC=C(Br)Br)oc2C[C@H]1OC1CCCCO1', 0.8571428571428571), ('CCOC(=O)C(=O)CCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O', 0.8235294117647058), ('CSC(=S)NCCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O', 0.7755102040816326)]",COC(=O)CCCCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O
38702,0.00069914,"[('C#CCCOC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1', 0.9310344827586207), ('CC(=CCOC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1)CO', 0.9), ('CC1(c2cccc(-c3cncc(C#N)c3)c2)COCC(NC(=O)ON=C2CCCC2)=N1', 0.8333333333333334)]",CC(C)(C)OC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1
44726,115.51288232,"[('C=CCNc1nccc(-c2c(-c3cccc(O)c3)nc3c(NC4CCCC4)cccn23)n1', 0.8787878787878788), ('Oc1cccc(-c2nc3c(NC4CCCC4)cccn3c2-c2ccnc(Nc3ccc(Br)cc3)n2)c1', 0.8571428571428571), ('CCNC(=O)Nc1nccc(-c2c(-c3cccc(O)c3)nc3c(NC4CCCC4)cccn23)n1', 0.8529411764705882)]",Oc1cccc(-c2nc3c(NC4CCCC4)cccn3c2-c2ccnc(NC3CCCC3)n2)c1
7293,0.0008267599999953,"[('N=C(CC(=O)Nc1cccc2c1C(=O)c1sccc1CS2)NO', 0.8333333333333334), ('O=C(C=C(O)C(=O)Nc1cccc2c1C(=O)c1sccc1CS2)CO', 0.8), ('CC(=CCOC(=O)Nc1cccc2c1C(=O)c1sccc1CS2)CO', 0.72)]",C[C@](O)(C(=O)Nc1cccc2c1C(=O)c1sccc1CS2)C(F)(F)F
